post_id,职位名称,职位类别,工作地点,事业群/部门,产品线,工作年限,更新时间,详情链接,国家,公司代码,公司名称,来源页,职责描述,岗位要求,招聘类型,学历要求,岗位状态,英文职位名,邮箱投递
1958039381835141120,腾讯游戏-游戏产品运营,产品,深圳,IEG,中长尾 - 石器时代：觉醒（国内） - 端手互通,一年以上工作经验,2026年02月27日,http://careers.tencent.com/jobdesc.html?postId=1958039381835141120,中国,,,https://careers.tencent.com/search.html,"1. 围绕游戏上线及长线大版本节点，设计游戏运营活动，设计发行计划，激活用户声量，形成有效宣传； 
2. 设计MMO回合制产品的赛事和运营方案，围绕游戏核心用户行为数据展开分析，制定运营策略，提升游戏用户整体留存率，付费表现；
3. 联动内外部平台资源，负责回合制MMO游戏运营活动策划，结合游戏新服和运营热点，定制并落地差异化活动和内容，达成用户增长、回流以及付费的目标；
4. 主播生态建设，积极主动沟通，协调游戏内外部资源，关注业务数据变化，及时提出调优建议和方案，重视业务沉淀和效果回收。","1. 本科及以上学历，游戏运营、游戏发行等相关专业优先； 
2. 具备2年以上在线游戏发行、运营经验，熟悉游戏运营策略和方法，有长线回合制MMO游戏发行/操盘经验的优先考虑； 
3. 对回合制MMO类有深入了解,有相关赛事经验主播生态建设经验的人优先考虑；
4. 具备较强的数据分析能力和创新思维，对数据非常敏感，能够根据数据优化游戏运营策略。",,,,,
2021467281292423168,云游戏-云游戏交付经理,产品,上海,IEG,先锋云游平台内容拓展,一年以上工作经验,2026年02月25日,http://careers.tencent.com/jobdesc.html?postId=2021467281292423168,中国,,,https://careers.tencent.com/search.html,"1.端到端项目舵手： 作为具体客户项目的全职护航者，负责从需求澄清、方案确认、资源调度、联调测试到上线运营的全生命周期交付管理。你需要牵引运营owner、方案owner、研发团队、算力平台及客户方等多方角色协同作战，确保复杂项目在成本、时间、质量（如玩家体验、性能指标）及业务目标等多重约束下成功上线；
2.协作枢纽与流程优化者： 作为交付侧的核心接口与发动机，负责打通信息流与任务流，识别并推动解决流程中的阻塞点。你需要深度参与产品、运营与技术的协同会议，确保各方对进展、风险与目标保持对齐，并持续优化项目内的协作机制；
3.质量与风险守门员： 你需要提前识别并管理项目中潜在的技术、资源、进度及客户期望风险，制定应对预案并推动解决。对项目交付过程中的质量标准和用户体验（如进入效率、操作延迟等）负责，确保交付成果达到或超出客户与玩家的预期；
4.知识沉淀与能力传递者： 在项目过程中与结束后，负责系统性地沉淀最佳实践、典型案例、可复用模板及问题库，形成团队知识资产。并将一线真实痛点与改进需求，作为有价值的信息，主动反馈给交付中台（交付组）与产品线，推动平台化工具和标准化流程的持续进化。","1.0-3年在互联网/软件/游戏/科技行业的项目管理、技术运营、实施交付或客户成功相关岗位经验（优秀应届生亦可）。欢迎对技术、业务和商业化有强烈好奇心及责任感的候选者；
2.突出的沟通、组织与结构性思维能力。你能在技术、业务、客户等多方语境中“频道自如切换”，将复杂、模糊的任务转化为清晰的工作计划，并以极强的内驱力推动各项任务闭环，对交付结果有极高的责任心；
3.具备出色的协同能力与风险意识，能在跨部门的复杂协作中建立信任、凝聚共识、推动任务前进，并能主动识别和管控交付过程中的各类显性与隐性风险；
4.对技术有基本理解和强烈兴趣，熟悉现代项目协作工具，有出色的文档撰写与汇报能力。",,,,,
2021467278775840768,云游戏-云游戏交付专家,产品,上海,IEG,先锋云游平台内容拓展,五年以上工作经验,2026年02月25日,http://careers.tencent.com/jobdesc.html?postId=2021467278775840768,中国,,,https://careers.tencent.com/search.html,"1.战略体系与智能流水线构建： 负责承接并主导部门从 “手工作坊式”向“智能工厂模式” 的战略转型。你将规划并构建覆盖“游戏资产标准化、自动化适配与测试、智能调度与部署、全链路监控与优化”的端到端智能交付流水线，目标是将新游戏上云/更新周期从天级缩短至小时级甚至分钟级，并大幅提升资源利用率与交付质量（如确保端到端延迟<60ms等核心体验指标）；
2.交付效能与经营管控： 作为交付效能的最终责任人，对整体交付的效率（周期）、质量（性能/稳定性）与成本（算力/带宽资源）进行端到端负责。需要深度参与业务的数据经营分析，建立数据与自动化驱动的交付决策模型，确保交付体系高效支撑业务的规模增长与健康的利润水平；
3.复杂项目与客户成功交付： 主导跨运营、产品方案、基础研发、算力平台、安全等多部门的重大与战略级客户项目的交付统筹、资源协调与风险控制。你需要深刻理解客户的业务目标（如引流/承载/体验），并将其转化为可落地的交付标准与成功指标，确保项目按质、按时达成，并维护良好的客户关系；
4.团队建设与研效管理： 从0到1建立专业的云游戏交付团队，定义岗位能力模型，建立赋能和培训机制。同时，负责团队的研发流程与质量管理，推动项目管理、流程优化与研效管理（如引入自动化工具、AI提效等），打造一支专业、高效、有工程极客文化的高效作战团队。","1.统招本科及以上学历，2年以上互联网/科技公司中技术交付、项目集/项目组合管理、DevOps/平台工程或解决方案交付管理的岗位核心骨干或管理经验，有从0到1成功建设或主导优化大型交付平台/流水线的经验者优先；
2.深刻理解云游戏/流媒体、现代软件交付（CI/CD）、容器化、GPU虚拟化等核心技术栈与技术挑战，并对通过AI、自动化、数据驱动系统性提升交付效率与质量有深厚的实践兴趣与成功案例；
3.具备卓越的系统工程与体系设计能力，能将“智能流水线”这一宏大战略，清晰拆解为可落地、可量化的阶段性目标与产品规划图，并具备强大的跨组织影响力与领导力，能够驱动无汇报关系的协同方共同推进目标的达成；
4.具备出色的经营意识与风险嗅觉，善于通过数据量化交付成本、资源利用率、项目效益，并对交付链路中的客户、安全及稳定性风险有敏锐的预判与管控能力；
5.具备开创性思维，责任感与自驱力极强，对提升组织效能充满热情，能在复杂的协作环境和压力下，持续带领团队取得突破。",,,,,
1984422344583700480,QQ游戏大厅-棋牌游戏运营,产品,深圳,IEG,移动QQ游戏-页游平台,三年以上工作经验,2026年03月12日,http://careers.tencent.com/jobdesc.html?postId=1984422344583700480,中国,,,https://careers.tencent.com/search.html,"1.负责棋牌游戏的产品运营工作，包括需求收集整理、原型设计、文档撰写，协调各方面资源，掌握开发进度等，确保达成棋牌品类既定目标；
2.负责系统升级迭代，根据产品线上情况进行数据分析，验收测试情况及用户有效建议，不断打磨优化产品，持续提升用户体验；
3.负责搜集和整理竞品的新功能与特性，能够梳理出重大与核心产品需求，不断挖掘产品创新点；
4.侧重产品数据，具备数据分析能力，能依托数据制定并调整方向和思路。","1.资深游戏爱好者，有丰富的各类游戏深度体验经历，对于棋牌游戏有深刻理解，5年以上棋牌游戏运营经验；
2.了解棋牌游戏用户群体，对市场上的热门棋牌产品有深刻认知、评估案例；
3.思路清晰，具备较强的洞察力和逻辑思维能力，能够拆解常见的游戏系统功能玩法；
4.学习能力强，有责任心，具有良好的理解能力、沟通能力及团队合作能力，抗压性较强。",,,,,
1995820353124978688,移动游戏执行主策-RPG游戏,产品,上海,IEG,修仙 - 逍遥游（国内） - 业务赋能,五年以上工作经验,2026年03月02日,http://careers.tencent.com/jobdesc.html?postId=1995820353124978688,中国,,,https://careers.tencent.com/search.html,"1.负责协助主策划进行日常工作管理、设计对齐、品质把控；
2.负责协调开发、美术、测试，确保策划组工作顺利展开；
3.掌握数据分析、用户调研方法，并可借助反馈，对游戏进行持续改进、优化。","1.本科及以上学历，5年以上游戏行业工作经验，主导过至少1款已上线大型RPG游戏（不限平台）的策划设计/管理工作；
2.优秀的逻辑思维能力，对策划全工作有全局把控力；
3.工作态度积极主动、服从管理、独立思考、沟通良好、团队合作意识强；
4.系统或数值出身优先；曾担任过PM职责者优先；
5.（必需项）资深游戏用户，对RPG类类游戏有强烈兴趣；骨灰级ARPG、ACT、MMO用户优先；
6.（必需项）资深修仙用户，对修仙题材的文学、影视、游戏有广泛且深入的涉猎。",,,,,
2000399244875423744,Supercell游戏《海岛奇兵》-游戏营销,营销与公关,深圳,IEG,海岛奇兵-手游APP,一年以上工作经验,2026年02月26日,http://careers.tencent.com/jobdesc.html?postId=2000399244875423744,中国,,,https://careers.tencent.com/search.html,"1.负责海岛奇兵手游及小游戏版本营销业务；
2.负责社区、用户、市场、事件等业务的策略制订和落地跟进；
3.负责市场创意营销，异业合作营销，线下展会等方案并落地实施；
4.策划各阶段的品牌宣传和推广计划，能有逻辑的输出市场宣发全案，能够结合小游戏平台和小游戏产品的优势，输出策略，对新进、回流、ROI 指标负责。","1.1-3年手游发行或推广经验，熟悉国内休闲产品市场行业发展，熟悉相关的市场资源及渠道，全程参与过至少1款成功游戏整体发行及推广工作者优先；
2.热爱游戏，了解或熟悉 Supercell 的产品，行业发展有自己思考见解，对热点信息有足够的敏感度。具备出色的创意内容能力，优秀的审美表达能力，能够敏锐的洞察不同层级玩家诉求，打造爆款优质内容，并统筹进行落地执行；
3.思维活跃，富有创意，逻辑清晰，具有较强的团队管理和沟通协作能力；
4.能熟练使用英语者优先。",,,,,
2011285846795374592,在研游戏编辑器-UGC游戏策划,产品,深圳,IEG,IEG微信游戏合作中心-小游戏合集,一年以上工作经验,2026年03月13日,http://careers.tencent.com/jobdesc.html?postId=2011285846795374592,中国,,,https://careers.tencent.com/search.html,"1.负责游戏编辑器内系统及工具的调研、设计、跟进、配置、验收等全流程工作；
2.负责游戏编辑器UGC管线、开发者工具、预制系统、Gameplay模块相关设计与制作；
3.负责AIGC相关工作流设计和实现，包含AI生成美术资产，AI生成代码逻辑，AI生成玩法原型等；
4.负责对编辑器的易用性和实用性进行优化和设计，并使之能在实际业务中有效落地；
5.负责设计和制作创新型休闲游戏项目，打造编辑器生态中的标杆游戏。","1.1年及以上游戏策划或者游戏程序经验，参与过游戏制作的完整流程；
2.主导或深度参与过游戏编辑器、工作流管线设计，对生产工具设计优化有一定认识；
3.熟练掌握游戏设计相关工具，能够独立完成游戏策划文档的撰写；
4.具有产品思维和用户思维，能有效通过模板、文档和视频等形式教会开发者制作游戏；
5.热爱游戏行业，具备较强的责任心，良好的团队沟通和工作协同能力。",,,,,
2016516377841655808,Supercell游戏《Moco魔克猎手》-游戏运营,产品,深圳,IEG,部门公共-其他(IEG)-K2合作部,一年以上工作经验,2026年02月28日,http://careers.tencent.com/jobdesc.html?postId=2016516377841655808,中国,,,https://careers.tencent.com/search.html,"1.负责游戏产品策略制定，包括但不限于版本运营、用户运营、商业化、活动策划等；
2.负责产品数据分析工作，能够通过数据深入的挖掘产品增长潜力。跟踪分析项目进度及效果，及时反馈并提出优化建议；
3.对接发行链路上下游各合作伙伴，协调资源推动发行运营各项工作的顺利进行。","1.1~3年游戏运营策划经验，参与过成熟产品上线或运营经验优先，有多款项目完整研发经验优先 ；
2.对游戏商业化/活动/数据多个运营模块有深入涉及，有2个模块方向经验优先；对数据、用户和市场有敏锐认知和总结能力；
3.热爱游戏，并具备较强的游戏理解、用户理解和游戏设计经验。思维足够有想法、够开放；
4.Supercell游戏的长期体验，RPG网游的深度体验者；并能进行运营层面的深度理解,并给出优化方案；
5.具有良好的团队协作精神和沟通能力，工作积极主动，责任心强。",,,,,
1988470014939914240,游戏AI-游戏客户端开发工程师,技术,深圳,TEG,游戏,三年以上工作经验,2026年03月12日,http://careers.tencent.com/jobdesc.html?postId=1988470014939914240,中国,,,https://careers.tencent.com/search.html,"1.负责游戏AI接入平台研发，包括标准化和平台效能提升；
2.负责游戏核心功能和核心模块开发，负责建立高效的游戏-AI管线，开发相关配套工具；
3.负责游戏AI SaaS产品化建设和运营。","1.计算机相关专业本科及以上学历，3年以上游戏客户端开发经验；
2.熟练使用C++/Lua，对Unreal（UE4/UE5）引擎有深入理解和实践经验，有主导过核心模块的开发经验；
3.具备良好的问题分析和解决能力，能深入解决疑难技术问题；
4.具备一定抗压能力，责任心强，有良好的团队沟通和协作能力，做事情使命必达；
5.具备游戏客户端性能优化者优先，具备深度学习模型涉及的工程和算法性能优化经验者优先；
6.热爱游戏，关注用户体验。对AI技术在游戏内的应用有实践经验或有自己独到的理解，充满好奇心的优先。",,,,,
1996809271161016320,腾讯游戏-MMO游戏运营-数据分析,产品,深圳,IEG,MMO - 天龙八部（国内） - 手游,两年以上工作经验,2026年03月05日,http://careers.tencent.com/jobdesc.html?postId=1996809271161016320,中国,,,https://careers.tencent.com/search.html,"1.游戏内容与商业化调优分析​：负责玩法、系统、活动、商业化等模块的数据分析，通过用户行为挖掘、A/B测试等方法评估效果，针对游戏体验与营收平衡提出数据驱动的优化方案；
2.用户研究与增长机会挖掘​：分析端内外用户消费偏好与行为模式，定位流失风险点及增长机会，通过分层用户调研、市场趋势追踪，为产品迭代和运营策略提供洞察；
3.数据模型与算法应用​：结合业务场景，参与构建预测模型（如流失预警、付费潜力评估），通过数据挖掘工具（如SQL、Python）提升分析的深度与效率，支持长期业务规划；
4.跨部门协同与策略落地​：与运营、研发、市场团队紧密协作，将数据分析结论转化为可执行方案，推动优化措施落地，并持续跟踪效果。","1.2年以上游戏数据分析经验，有MMO/卡牌/SLG等中重度游戏经历者优先；
2.熟悉游戏经济系统、用户生命周期管理，能通过数据定位产品问题；
3.强数据敏感度与逻辑思维，能从海量数据中提炼核心结论，形成专业报告；
4.热爱游戏行业，积极主动、抗压能力强，适应快节奏迭代环境。",,,,,
